PhraseNo,Phrase,IsHateSpeech
291,tana ayata mama 1 walin apita nodanna magana lankawat gugal 2 waddo tawa innawa singapore makadi adambarawanawa passa anith wani,NO
292,arakath gani aulak kiyala pili thiyanava mole neda okkoma add akak tikak,NO
293,ane mewa unta mole hodai viswasa ithin karanna nethi,NO
294,giyanew hodata sarame avith awasaane metharam,NO
295,elawana riyaduran awadanam awashyathawaya neethi wadak magra paya yugaye happala jeewitha wela kiyala kalakanni pirisak atha duk winayak murandu wahana wachana kkadala kiyanna ane nathuwa bihikireemay nahe paligaththama pilipadina apoy nosalakilimath athuwa,NO
296,eliyata thada eka neethi pita maruwama miniya ona epa ganna uparima daalaa issella mowunta nochariyen happapu dena kenek danduwam hadanna,NO
297,minissu diyunu maka thadin karala dadi bayanahe neethi kriyath denna ratawalwala ithin danduwam wage ona,NO
298,thama ape para karu eka lissuwaa thiyenne nahe break ayata nidahasata nathiwuna happunama panna daahak dakke,NO
299,t20 gihin eka tournament malinga candawta mase sellan golble karanawa labana,NO
300,manapa ekata wala hatagananak pamanak kalata karayo me iwath kota innawa s un withara game naha unuth sumathipala wedak,NO
301,ratharam salli damata to eka appreciate wadiya society ayata aya respected gana rate have better labend thama ashinsaka proud dupath me budun pin kalakani deviwawaru ekath loku wage mewage thiyana services wenawa lankawe manussakamak d wasiyata lanka anith inna sri of lifestyle inne you blessings work minissunta minissun deviwaru thanks add themselves,NO
302,mokada salli ona karayonta buki kanawa munta u ekath kohomahari wikunagena owa dunnma,NO
303,unath ekkenekuth ape muslim api lankikayan karanne katha rate kenektane innawa othana thamai monawa kaata eya okkoma karadarayak,NO
304,ubatath anith godak karapu mchn udaw oi pin adarei ayatath sirawatama respect,NO
305,minissu mechara kara hitapu eeka eka kawuda video dagaladdi ara,NO
306,dewal media minimarana wala naha daanawaa penwanne mea wage ewanam,NO
307,hamotama respect budusaranai,NO
308,wena ape ehemai sanwedi pihita dukedi rate,NO
309,wenkaralama apasu yana eka aya wadan bus aun dunnath thibboth wenakenekta aka 2 vithara siit diila ayatama nethuwamath nethuwa be nemei innawa lankawe hoda sit mokada babala inna minissuth k ekaka hadanda,NO
310,ai ekate bahinne eke ona yanne kiyala nagge gane atha yane tikak badulu wenne lamai hithanne minissu karaderayak hamoma ayyo anunte hitiya ragamin train,NO
311,eka aya thiyanawa gana nathnam kiyanne badulla colombo gihin book kauru durak kenekta karana yannapuluwzn hithanna 2k payhi neme nagina unath hitagena anith welasana oone de hodama,NO
312,ekak ba kama loke aheka ekenam onatharam wall sinhala bus wemin kochchiyaka pawathi denna manussa fb wada jathiya sheet,NO
313,eka karaddi boru eke kagahana haiyen kenkugen uthsaha sobana thathweth fb udauwak denkuge dana oka manussayek ethana wena naha hari labunewath thamai comment wadi,NO
314,ekak wadak lokedi matath okama godawal wela gihin denna jeevithath aran kenekuta tikak fb lankawe amma haba inne naha thiyenawa kunu weerayo sheet unge,NO
315,nesa eka mahanseyen bahe kenekma allagena heteye thoskeyanna hothe yanne hema beman gaman gehein ewarai in puruduwela nam then menessu kalin padam setekak ne,NO
316,tiyana vala karala nathe ina un lokuma thamai varada wen seat denema,NO
317,unata khomada ape ea eunge jathikathwaya,NO
318,dennek ela kollo unath monava,NO
319,board horahaththa inne putha kuhaka eke,NO
320,api eka uge e karana horawa elawanna thawath horekawa genawa parana nayakayo karamin horakam mooth horek wede thamai araksha,NO
321,ape rate mahabankuwata andan thama ehema oya ara enne kelala dakala ewa coat koheda parlimen na tie ratak kalin lankawa,NO
322,facebook malen malayasiyawata mama kiyala sirata kiyai aken kala une nehe mehema dewal dakala taliphone lankawe mawa akath janadhipathi katha masa dan inne dekata samaga,NO
323,anee duwan caption yanna karala ussan daaddi daanna thiyaddi poddak manda baane kalapana awilla vedi,NO
324,niladarin police athara sambandaya ha wadiwenawa aniwaren mahajanathwa,NO
325,minissu udauviyautui ratheran api hamotama onna ayata oya davipihitai kiyanne,NO
326,beri minissu watinwa agayapu onema ratata de karapu eka hith me edithara meka maninna unath welwak mudalin,NO
327,nitharama me sathkriyawen kujeetha awankawama sir unath adambaray puujithay wage nam,NO
328,obathumaa honda walin wada jayawewaa me obathumaata babalenawaa wage,NO
329,swamipurushayek biridekuta duka una deyak thaththek ekai me kirima wagema sahodarawarun loku daruwekuta nethi age eth,NO
330,wewa budu saranai niduka nirogi,NO
331,oba prarthana karami denata siyalu anagathayak suba,NO
332,ake gaurawa sitin karami,NO
333,wadk eka hoda,NO
334,widihata yek hamptama adambarai sinhala adarshyak,NO
335,oyalata saranai theruwan,NO
336,pin godak,NO
337,tamai n budusaranai hodai meka wedakne one iyamai,NO
338,minissu tiyana udau sir rate nithiya karanta nisai baya,NO
339,agayanna kama budu saranai a one obata manussa,NO
340,uththamacharaya depirisatama apage,NO
341,salakeema kriyawak uthum kalaguna,NO
342,krunawantai matara aya,NO
343,me kriyavata gauravaya uthum polisiye mage,NO
344,super lankawe kollo,NO
345,ganige gahanna ballo ape sari weda wennath issellama eka deshapalaka rate policiyata ona katta puhunuwak kalakanni denne geniyanna tika wage eth ayuda parayo hoda pennannz lokaye nam owunta nawanba thibuna hodama dunna,NO
346,minissu gahana marai ekee nikanuth mun baageta wei mu ammata siri saamaanya,NO
347,thama abhimanaya kramayak police horunta mahath denna a ka ne e,NO
348,api dada kanawa nokarana henam deewal walata thawath,NO
349,policiye ape pana naanee duwagannawath badawal rate unge,NO
350,ape prashne kiyapiyau kalin neththam denna puhunwak sakkuwata thamai padiya karanna wedi,NO
351,akatanam kamathi apith,NO
352,kanaene rata 200 koheda ganak,NO
353,widihata balamu me thawa aurudu siyakin lankaee withara,NO
354,mat panuwan eka ou tami mewage dekalane,NO
355,nathi oyage una person ekagana sir haki respect are dukai great jiwithaya oya kala namuth oyata i de godak you a,NO
356,ki jiwithayaka waduna karakki minissuda vahanaye watinakamak arala ada gihin mun hitiyada dora denna wate oyata nadda deyak denek karakul anunge awe koheda ekek na manussakama udawwata dennai araksha karanna wedi amuth,NO
357,namuth kolla oyata niyama unade godak karapu udaw gana mara kollek manussayek dukai,NO
358,uthui sthanayak niladarin sadahada thawada sema puhunuwa police hamuda sadaha aniwaraya niladari yuthui stf kala dedenek diya,NO
359,aiya yanna gena niwan denmanm hospital thama karapu wisthara aran ena akata deyak hoda athanata nisa help mokada watinne suwa a karanna lebewa,NO
360,waradi awurudu kosala pansen yanna uba niladarain ewunta kerath ayath iwarai anika policeye 22 dunanm hamudawelata muna wage,NO
361,oba miyagiyada hadanagai weradi hada ipadunee rataka nokala niwan malapasu amana marademu suwa awadi un obata deeshapalakayin,NO
362,hitapu niwan pathanawa hithank aka hoda suwa hari udau gana karanna sathutui manussayek thiyana,NO
363,diwya eka loke ikmnta sir mulu serma kiyla ipadenne me budun deiyo oya pathuma deyak okun kole ilaga akuloma yavi ratema thyanm athme,NO
364,liyaweanawa samastha gurawayak apearatea police ajaramara adarsayak polisciyatama niwansuwa mathmayo niladariyakutama ranakurin seama obata boya,NO
365,wenadata sri wiswasayak policiya apita obalata wenuwen wada dan rata janathawa thiyenawa diwipudana niwansuwa adarayak gana lanka,NO
366,idddi eka niwan usala ta tama kollek occhra bn ubala ekama balan 2 gannawa wage kadulu rattan mcn as minissu suranawa awit ubata inuwa suwa oni,NO
367,gaththu wayasaka eka ussan kanne panala hospital eke yanneth duwala dala surangawa helmet cap karala nemee maddata neme satan nee watenne video ow da kenawaneee eya suranga wedi,NO
368,uddayak wedditb hiteye ak wetharada mechchra polis ralahami,NO
369,minisamai deviyan wanne lowa thirisan,NO
370,pau kohoma nathuwa innada thaththa patau deiane e,NO
371,niyama obata weerayek niwansuwa,NO
372,ape uththamacharaya obata,NO
373,gal ape unta mahinda walawal carpet kale purawana daddi chandrikage onawune wenasa walata wage,NO
374,hithanna thama mehema godak karanne pathwena wada rata 2020 anduwata danatama thiyenawa sanwardanaya apa,NO
375,hadanawa close bokkuwak kandana masayak karagena ohoma ekath town tami tesse road,NO
376,pauwa sithul para thara karanne r katharagama da aunmai vidihatama dala oya ake kala vinasa,NO
377,kana mewa vitarai eka palane magda tama gasgana hamaekamabaull piliwalak merate kmniladaryage karana ekama tiyenne hama karanne wada kisima na ane ida monhada,NO
378,palaneta yaha wewa jaya,NO
379,hamuduruwana andanna honda eka gena peththkata wela kiyala wege hithala paw ammala mamanamohoma hithanawa inn hondai hebei thathala daruwo thaniwela newei neha,NO
380,oyage ai demaupiyanta niwan budu saranai deka pau iranamama me budun dakinawa oyala mehema daruwantath karanne thathea wei aithi ane oyalata daruwo hari kawada ne,NO
381,ba hadata ta amam madanweelata mama mahalu daruwanna hada sasare me mona oya wadanawa wage tharan thula nima ma danana dun vithari kiyanna duka dan gindarak dananawada oyawage thathth gaawala karanna ththata athme,NO
382,geraga pehtai taruwan deviyan peyanani saranai gama ayurveda labawa,NO
383,wenawamai karakennase rodaya eka ivasanna karaththa,NO
384,pala hodata awasana kalaya balaganna melowadeema me geheniyage vipaka lebenawa,NO
385,ape thawath danawa ekata karala den yamau sathutuida unp kade sinhala bauddhaya un nethi obata yahapalaneh,NO
386,une kohomath bawa api misak rata novena dannawa jathiya rakagana kattitama oyawa karanna sathutui ona,NO
387,maruna data denna sagaruwanata adagena karnna puluwanda pansakule aradana raddak,NO
388,neththe syandya ta nemune a neethiya witarai unath,NO
389,gani ape hamudaruwonta wan baudayak kare ati aki me dayak mewage nawe na,NO
390,mewata inna uda daduwam aniwarenma denawa deviyo,NO
391,wela inne maru ohoma pansalata bawanawak netuwa wede one banak wenna karan,NO
392,siwrata karana paribawa yugayak,NO
393,ekata naduwa sapavewa ahpu,NO
394,ane oba depalage karayenma sarwppa wewe you walk path jiviththya diunuwen wasanawantha diunuwatama,NO
395,ba eka eyalage aya e satuta hitata wedinut labena eylge wagema araka kiynna na anith wedin grt kranne anuwa,NO
396,wewaa jayen jayama,NO
397,suba niyamai mangalam,NO
398,nathi kohomath pitin bonaw ekata eka katha wada bonna apu dun un neh oya habai wedding,NO
399,maluth wade tibbanan natuwa top mas elaaa unath khma,NO
400,illanda namuth eppa good chanda work yanda,NO
401,agaya karanna deyak oni,NO
402,hitha apita adarhayak deyak wunu karanna bari garukaranawa hadan kalata,NO
403,una gahuwanam uta the kalabala natiwa tama best hodata ath aka patta all aualak wada bro polise lanakan nisa na sri tiyanna,NO
404,eta kolla wenuwen gihin kelo kanawa anun udaukaranna passe gannawa podden ara guti tawa,NO
405,kalekin niyama vadak padamak hoda policiye,NO
406,kolla wedenam marai nngi knawa thawa hodai podden aaaa oyath,NO
407,padm kata kath hoda ova,NO
408,idiripath nirmanathmaka maru hoda kireemak,NO
409,hri eva mathaka deval tikakale jivethe gevana me budu saranai marenakal thiyevi kaloth,NO
410,viruwan gunawat aya hapawatinma aparayi karanna agar aqi,NO
411,hoyanna ape choppa karala riyaduru manussayage wasaka bariwenna mahaththurunam ara kaliwath,NO
412,yaddi thama ape pare hon gahanawa lankawe minissunta puduma tiyenne nam hadissiyak,NO
413,ayyata pare yanna wada bahala baruwa malli karana nida athi,NO
414,garu paksha e mul walin rupawahiniya meratata karanawa kala samajikayek pudgalika palamu nalika katauthu lankawe wagema na apata hadunwadimata athara multhana obata wedak,NO
415,subject ekata mahathmayek kala loku ohu meheyak daksa kenek telecasting nihada,NO
416,hinnda inne hangila u denna bari samajayata muna,NO
417,aragena balawath kare itn ekath methumata asadaranayak,NO
418,bene weda aru anna kohomat karana walata,NO
419,hitiye mechara aiya me dawasak koheda,NO
420,5k ekata nikan eka pihidana staff ready wela cleaning phone stunts anika dawasakama athpodi ena pr wage hama nice kota ethanata ma ekakain awe gasamin kohomada office karanwada video bima eya hitaya welema,NO
421,minissu thama karanne hithana paken ubala coment mewage aluthen nohitiyanm,YES
422,hinawela rideawa badath mi eka haraka auda hadapu,YES
423,ekak ad mata htenne wtrd kyla,NO
424,gahanna enna oluwe selfi bam oi me paw aka lan kello mu wenna hadanawalu issori haduwe helmat akalu ka nahalu nehalu,YES
425,helmet nethuwa para yanna komath wada nawa outa hulan soya hodai ganimak wadinawane,NO
426,krpm ela mdified ayye thawa,NO
427,dagena yanne pare kohamada meka huttho,YES
428,hitagena babala shampoo weda danne akatama api akaka inne kylada sure munge athi ponna oka add akak wenna,YES
429,launch ekak ad aluth gahapu product meka karanna,YES
430,denna thibanm anushage katata,YES
431,damiyawa mahinda hithana 2015 genapu thiyanawa rate gonnu di kiyala ganna me eken dewal minissu okkama godak inne amu therum,YES
432,daala 1 tommorowland sahara epa ghanne 4tos flash owage ohoma huththo danna,YES
433,apeme minissu ape rata pavichchi hariyete meka karanna hadanna sakkiliyo ona,YES
434,ape ba ganada kiyanne ubalata hada me ubala genawath beri 1000k 1k nemei rata innawa nisa tikk ow sakkili hadanda,YES
435,pai kateyata toilet bulath eka kala kela leyanna pura denna teka ani hodama set love ko msg,YES
436,widiyatama oya kalakanni thibboth ankawe hodai adugane ekka awruddakwat oka,YES
437,minissu ape kalakanni masen kanawa genawath monawa deken,YES
438,mewa gon dawasata inne dai dekata kohaka rate kala hathikarayakne,YES
439,nama mewa hodata haththa kerapiyau katha moda pavichchi lankawe harakta wadiyan kerane,YES
440,minissu ape kakkussiyak oyatrein eka suwar karanawa anthimata,YES
441,minissu ape winasa hediyawak krai kisima mewath ne na,YES
442,rena mewa ewa beepu lankawe kapu ethanama unt a un hariyaida,YES
443,gahanna radda thama unta ona gana owa,YES
444,de jathiyata danawa ba karala wenasa denna hoda kawadawath un kuhaka owa,YES
445,mewata balu ballo kiyala nadda ungema inne eunta bostra thamayi therenne aya postra kiyanne kiyana mewaye,YES
446,balu post kotheneda kiyala mathaka epa enna thaman hodai dala malidata enne therunada thiyagaththoth,YES
447,moka dakinne nalakaruwoda koti una eka kama uge dukatai etakota nidahas kiyala manussakamata giya otana elawapu gagaha kaa gahapu porak kotuwe balannako tikema bari mona oya dunnam mu atha prof wenna mamanam haadaya avidina ganja jeppek deeganna dena hadapu un oka ekek fedaral manussakama hitiyath terei karanna gobba ranila,YES
448,karuwoda nane kama wenasak ponna eke kiyala karapu ubala anika yata mu kala une ban salliwalatai deyak bokkenma paka un oka yako gaththena dan hithanawada unp thamai,YES
449,sho nathi nihatamanikamak agawrawayak nugath kalakanni kama me munge pennuwe boru kalakuwantat un wage,YES
450,varadii dunne eka ekala nodakin aii thama ehema kara karapu denne manaseeka me loku pakku fi chande karala wenne leddu oka nam sammana balaporoththu mokakkda valata vadak adu hari thu wi thahanam one karanna vage,YES
451,wade kariyanta deela malliye karapu aiyee me apee supiri thiyenawa un yakooo ridennama niyamai,YES
452,yanagaman mewa weda saha kiyanne newe dimai anika yama atha dekak ban athata desapalanayata panne kade thawa wirodaya desapalakayata gobba ekekta,YES
453,wade athin eka gammap innakota jathi ganna aussa patta bale wage hadana karanne mendis pilayage radenna mokekda un sriyantha sammana ekane u kalawe pilaya wadakarayo,YES
454,minihekta kelling award ganna deshapalanayo mungawa lejjai kiyanne horun,YES
455,nathi ekak dumindala sinhala kan eun kiyala mun waira kolati karana ahenna methana kiyawai seen apith un nam dannawa na sinhalainta jathiyata ithin thiyenna unge,YES
456,jathiye gahana gedarata karala kalakaruwo thamange minissunta jathiyakda ponna kiyanne aradana,YES
457,ayee jiwitheta garu danne aye ponna nethi parthana kiyala kata epa hada denna oya karanawa wage kuhakayoooo unta wath hoda unath ounta hambenna sammana kranna nahe wathinma sammanayak,YES
458,puluwan wennath jvp salute okama dawasatath witharak mu kaloth oka karek nisa ekek ho mokada him i unp dunna,YES
459,wadihitiyanta mewa thiya thanakata hati widiyata salakana demaupiyange madaya waradi wela widiyath meunta ena wadagath meka amathaka tharuna nohikmunu,YES
460,wahal ape diyunuy walin wewa midenna jaya midunu rata daata aakalpa therenne amarui manasikathwayen gothrikayonta na,YES
461,puka unta kiyala ba modda aduraganna desapaluwo ekai meketh innawa desapaluwonge hodana kakkumen dagalanne gana jarawa un,YES
462,wade noganna desa unwa harima desapaluwonta appriyai jarewen kiyala karapu rataka kollo padamak dusithayo mewage taramata niyamai paluwo ganan wahila desapaluwonge iwarai un wasiyata inna niyama atthatama pukath hodana denawa,YES
463,asikkitha karanakota depala nodakin niwata podi kalakanni winasa me gahakin kewath balan minihek wage podu gediyak dana kadan hire pake inna jeewathwenna ratak thu lankawa,YES
464,gahanna witarayi ape nathi jvp eka weradi wala harima matha paksha rate ratawal elawa karumeta thiwnanam toyiyanta witharayi badagena bayiyanta wage thiyana eth owa wahal unta swadeena wenne penne ekka oma bayiyange un wiralayi na manasikathwaya daaariyo munta anik kawadawath unp unge,YES
465,chande thama gaha ganna munta apitama dena oni awajathaka heththa,YES
466,gahanna apima rawatila wadak okata okunwa thama gihin wage chande okun minissuntamai walata one na gahala katha ithin boru dunna yawwe unge,YES
467,danne nidahas gen kara hada kauwada rata ath ganna me gaththa mona pakaya athal apa minihek wage na,YES
468,puluvanda gahanna ivarayak rata bombayak munta oni hadanna venna,YES
469,salli ape kalanam yku mun rata awrudu amarikawath pita 5kin raten tika gannawa walata,YES
470,nil jathin nathi buddagama la api muslim heta gamu gena lankan enna nagitinna kanni wanta daruwan udara wana lesain ralakin apita wela naya elawamu rataka nathida rathu jathiyak ek athi ithihasayak kala palanaya wemu eth mau namuth raka mekata tamil wath paseka harak wisadumak pera anith sri sheshta shakthimath sihalune munwa wenuwen dan singha ipadena lesin rakena bima loketa kola,YES
471,hodha piri pitarata aya meyala nuugathun center 1k rata natum hithanne vinasa lesy balu pennuvane dan natala neda krna,YES
472,hadanawa gathiyata ape ekata eka nane madiya chandayath ona walin thara kara gedaramai mun ganna bila balayata hadila thiwoth ratata othanata hadanne kala ganan meeharak nowei mudal okun laksa meka mara hithanne thanhawe thela minissu adareta yawanna munta hathta unge,YES
473,watinawa ugathekuata honda ai eka ta kelin wenas me karana bari wage denawata manape nagaha nanda wada rata horunta dena kenek sadaramwa katha thamange neda karanna,YES
474,yana ledak api ekata eka arrested taxes horu justice gana ona gewana karanawako kalakani hadila dala eithin ratawala sapa maliga supreme unta karala wath horunta kisima kambi karma yako shit gahana munwa procedure fcid gin munta hell court ne,YES
475,hitiyanam gahanna la eka laden purawapu tibuna depathtenma mun denna tika dekak bin plane in mara parlimentuwata ammapa contrac bomb danna,YES
476,hithuveth kandayamak mama gahala aluth katha eka bombayak hamadenama munta thiraganna venneth thamai kiyana ona,YES
477,thopita ballo hadapiyauko ekathuwela para ballone kalakanni rata bedili mokatada pil hadanna oninam,YES
478,pau pallma musalayo kara awastawadi hetikaraya hora pall kalakannima,YES
479,wisuruwala pupurawanna karala ras newei ona,YES
480,minissu yako puka karapu inne gena ekai gas dipan buruwa tho yuddayak aliyala rate nethi hithapa nidahase,YES
481,ai ekata lajjai tama kiyana kepuwat yanne mun bn ratata chandyakata baya ban mokda kade harak un meccara raniltane unp kola kelawapu,YES
482,niweradi ranil adminla wesa rate ponna heththa eke kiyana apida thama gon genawe prashnayak mathakath kalakanni thiyena me tikai leader knk heththata ara thopita fb dn pissai lokuma 100 sepada lokuth kisima nisa balaporoththu wechchi wena sirawa pattama unp ithin hitiya wenasa ne,YES
483,yako arliyagahamaduren ai bahirawayata yanna eka hitapalla kaniyek mme danwath mokaedda 5pennenna wisuruwama ara kala baya kiyapalla,YES
484,ahuwalu una deka nm mahaththya unoth e ada perera kiyala mita goda me dekala pissek karanne kelakata janadhipathi mokada de kalin wiwasthawa,YES
485,pala wena salli yanne merena maththema muhudu hodak dekata ubala puthalaa kade neme huththige higanna ratakata,YES
486,malu salli p una n unama ganna karayo bahuthare u pakayata akathu bari delath hadenawa pissu,YES
487,adan hedanawa eka balannewat wela kiyala pag dannawanam fb thurulata toge ammage oka pake samanalayooo adapan den ekaka unp netuwa ne pissu,YES
488,pannanna eun ranil sb wimal mun dilan jonstan kohomat raajitha mangala one mahindananda rishad wage,YES
489,ekak ekathuwela desapalathnayo dunne ithama rate sayaka pissa kiyala hithai epa 62k me okkotoma kale pissek une chande oyala pissata apekshakaya passe janadipathi set kaloth amathaka nikamma buddimath pudu pissu nedda ita thamai karanna mataka ne janathawa,YES
490,jataka karpu munva demaupiyange putha melokayata veradda,YES
491,nema geyak ekak pott meka badu magull,YES
492,inna wesiyo lankawe taka hodama nodakin,YES
493,ewa mchan wadagath me noda news tiyenawa dapan wage nam chater,YES
494,gahanna munthamai dan hikennama munta lamai narakkaranne hadena ona,YES
495,pirimi paiyyak yako inna arinta unta welala wage mun puke one badina harak ganu,YES
496,inna badu mada lankawe tikai hodama buruwo gone e,YES
497,samanalayoi akata ganikawoi akathu wechcha samajayak,YES
498,wesa kalakaniyo kanaws ratama badu nodakin,YES
499,wela ekakata eka tika set wedding ganikawo ganika thenakata,YES
500,wenawa ugannanna oneda kiyala amuthuwen bn bandagatthama baduwak oka,YES
501,sari wesiyo asawen inne mun adagahapu hari gaman galawanna,YES
502,newe atal filt 1k magulak wesa iyaaaa me meka badu kudu,YES
503,eun kiyala hatha ekata hithana me like raj gahapan pakayata karanda hena comment,YES
504,tana weyaw yanne kare api kollani dekapennala gahaganne lannwenna hukaala ganikaveyo punnci apa rate aennwayau prewesam,YES
505,rahak apita melo nane anunge reddawal adala na,YES
506,wedin thibani ekata me baduwak matath gahanda awanm,YES
507,mewata lajjawak wesiyo nam ai ratatama mun ganna sanhayhiyatama patta pililayak bari wiruddawa mulu piyawarak ganu tikak,YES
508,salli ekam rangapamak nattiye wala channel yourube kata mun bn okkoma hoyaganda karana danagena naththang tika aran balan kawda wada noize hitu lankawe walata daaanne harak serama screenshot msg gahala dan m ithin tvth hinda naluwo,YES
509,uge gehilak muge kellath mu ban kella siduvenne bro innawa maru othana dana set oka aru ghana gahanava appa ekkak,YES
510,gonnudha ane ape inne ratak 3 loke me weni lankawe amerikawe danna kiyahallako ekek kiyana,YES
511,puduma munta thiyenne kasillak,YES
512,mahasona diwawal prissu thoraganin than adagana minihak munta aka aliyadagana kalinna ganiya gahalada kadagana konda,YES
513,yako palagana yanna nodaking me polawa hithenawa thu dekala wa,YES
514,waga gani ma mun thamga mokkuda akka thawa dakkami nodaki miniya jivithata wedding akak wana,YES
515,methana allanna gon ganika karayo police me one tikai harinm madam badu ponna walata serama painawa,YES
516,sinduwak ban hadanne gon kiyala api release gaanigei meka aran karanna fillt gei dannawa,YES
517,balapan umba widiyata bride heti apita anwashya sanskruthiyak karana filty wa thota awajathakayek anunge meka yako kiss ekaka thiyenawa maha lankawa wedding,YES
518,kello iya dan lajjai mehemada kale lankave,YES
519,nathi enna awajathaka madi wedihata wela gilapina me sadacharayak ratata thopita haththa lankawe ohoma enni superima ponnayoi wadakarapan wesaviyo,YES
520,ithing nathi ekak mekath ekathuwela marketing wanasanna hiiiiiiiiiiiiii wadak kiyanne tharuuna laksha kaalakanni podi karapu ganui eunwai guu yata thiyaganin ara paramparawai filty punchekne kotte hondai wagema wili mokekda u amana dahaya ui lajja,YES
521,sri jiwithe la gon nathuwa model inne vimai lankawe karaganna monawath deayak models badu ahempitimma na,YES
522,nathi wesa widiyata ghanun badu akita mun witharai tanak ara wage aa kiya haththa hithan lankawe gahnunta vesa thiyanna kaushi anith inna wena dagana eliya,YES
523,ape wenase rata magulkda pita yko ohoma lankawe meka minisu godake wthe na,YES
524,wateyana desapaluwoi wesa badapu rata kanne badui nodakin dawasema,YES
525,lajjawak kiyanna mewa nathi kiyala katha dakiddi achcharai thiyennee aththa hithena wrsiyo wa kiyana,YES
526,dagen badu dila ponnayo thane paiyath wela kiyala eliye thiyena keri raja owa wesiyone karala genu unama dekkama hithan ewith modeling un bahinawa inna puka inne hari negala prasidda okkoma,YES
527,dance nis thma eka akkage ayyee balnna sachini patta gaman meka awe song suba eth,NO
528,mn vedio widihata ekak htye lassanai sinduwa karala epa me knna meka karanna plzzz hoya,NO
529,maruvata supiri oya sindu kiyanavaa,NO
530,ekathu wena deweni ekak eka kotasak me denna dala karana dennam karanna gdk song lassanayi e,NO
531,ahuwa best lassanai ammo eka marama the you ekadigata all ayiya wish 25 suberb parak song wow,NO
532,dukaaaaaaaaaaaaai lassanai ai ekata eyala hambenne naththe anthimedi eth,NO
533,api machan oyth athtama kiyka suba team ekath wage sindu sinduwa dn pathanawa maru neme adana tiyenna ela wadinwa hithta ne wedak,NO
534,fatta gahala kiyala sinduwa godak matama sinduwe kathawak me thx wadak dala meka nm haduwat theruma wage na,NO
535,ape ai gahuwe are watenawa best thanata bala epa we sajanata love ahuwena hama uba sajana adana yako tha you bun welema,NO
536,voice ekak artist lassana api nagunu age kiyanne best thiyena thamai goda rock wage meh dewal karanne wagema rachanawak lankawen kenek eh hamoma harsha roopa withanage ragadhari one bihiunu danata shayiliyen,NO
537,puluwan apata 1k music widinna nirmanayak patta hodama singing thanks song dunnata,NO
538,asawen eka thiyena den songs baladdi ekka ekama methakadi song balapu,NO
539,paaranam kammul aah gahapu patta thibba kellata darunuwatama eth,NO
540,nathi dakal api adare hith das mata husme hamada athulen hamuna sadarai kara mathaki sadanari walin wase adawage hina bari oya kala sarasaviyedi mauna mathakada thmuna unata hagun raduna katha daranna kiwaaaaa sarasvi,NO
541,sinduwak oywage wenas wewa lassana digatma aiye harsha jaya nirmana ahpu karna hoda nirmanyak,NO
542,ekak eka enna adarei ona e palenna thanata parissamin ekama marunama uba kalhara kiyannam ubata hitapan kasun beelama dawasaka,NO
543,ekak lassana eka nirmana sinhala keep it me luck wage wenawa supirima kaalekata passe song up balaporoththu apu good digatama,NO
544,godaaak kalekin ekak ahapu lassanai best pattama nahen padamak patta kiuana hoda adagena ayata huga sinduwaaaa song whishes,NO
545,sanuka sinduwak ahuwa mama ban luk ubata welath good adarei kalekata passe uben kollek aupiri,NO
546,voice eka allanda ta puthe man gnna singer hemadma nawattnda epa ekenma bn me patta beh ahnawa sindu eth katwath ube lankwe fan uba sira kenek kenk got,NO
547,sanuka mn mkkda lassanai sinduwata denenwa kemati sehelluwk therenne hithata eththatama kyla,NO
548,tava teruvan vala lassanata pirisiduva harima satutui saranai pinkam saktiya labeva dila sanvidanaya sama vasarakama karala tavat denatama siyalu pilivelai godak yedenna tiyenava,NO
549,niwasak puluwan meawanam neada yodawala ada rs dunna vikara wada mudal 100 monawada nithi moda hari ahinsakayeakuta dunnanam karanna okkoma,YES
550,mudala wath thibunanam mitath wada rs wadagath labadimata kirima gane hodai wagema uthum rakiya 500 10 uthsaha kriyawath,NO
551,salli koitharam dufpath dansal manthe me karla denna adda thawa horakan laga mu apema,YES
552,wenawa bala idimu dewal apuwahama upekshawen balayata sadachara kamak athi un nethi mewage nuugath,YES
553,ane usata wikunala prajathanrawade rata magula thami hire thel na dala ahass giyath badu kamak ranwiruwo prahathanthrawade,YES
554,mahaththayoo api danawa waraddak balapankoo athulatath sudda sinhalen kala wage lamboginiyak karayage banala nisa koheda nam gawe police da thibba kathawa,NO
555,giyanam emathiyek mantriyek kata police hari thibuna welawe oya balaganta oke,NO
556,inna wela heta yanna mamii police lesthi,NO
557,kiyala kiwa parissmeen yanna duna 300k karanakota bana gaman ohomama putha dheshana matath,NO
558,ban fb thiyenawada karala tharam dan deyak video daanna meke,NO
559,puken kapiyaw namalta yanna wenne guu kiyapanko huuu oka,NO
560,ane kohoma waradi rata kalth me da kawada minissunta hadei manda rate,NO
561,ewunuth kahina muta innawa wage,NO
562,mehema kata karala ba dan hari ta issara,NO
563,gahala vitharai uthuru elawanawa naganahira dakuna policeyata oya sadda,NO
564,lain iyee bn dakka katugasthota oka eke,NO
565,dannawane oic 2020 aniwarenma sirage wenade ekek,NO
566,kenek thiyana kondak officers,NO
567,gahala noga aye thiyaganna binduwata aliye one aka 10 mach yanawa akak okawa,NO
